Date Saved,10/24/2024 3:13:28 PM
Title,AMAZ-D65_002_02°_6281K

Measuring Mode,Ambient
Viewing Angle [°],2
Tcp [K],6281
⊿uv,0.0092
Illuminance [lx],8150
Illuminance [fc],758
Peak Wavelength [nm],449
Tristimulus Value X,7485.6063
Tristimulus Value Y,8154.8794
Tristimulus Value Z,8098.6400
CIE1931 x,0.3153
CIE1931 y,0.3435
CIE1931 z,0.3412
CIE1976 u',0.1943
CIE1976 v',0.4763
Dominant Wavelength [nm],499
Purity [%],5.6
PPFD [umolm⁻²s⁻¹],114.6
CRI Ra,80.0
CRI R1,78.8
CRI R2,81.4
CRI R3,83.5
CRI R4,81.6
CRI R5,79.3
CRI R6,76.2
CRI R7,87.1
CRI R8,72.2
CRI R9,8.2
CRI R10,56.1
CRI R11,80.5
CRI R12,53.7
CRI R13,78.9
CRI R14,90.8
CRI R15,73.2
TM-30 Rf,82
TM-30 Rg,97
SSIt,37
SSId,64
SSI1,---
SSI2,---
TLCI,74
TLMF,---

Spectral Data 380[nm],0.004596980754
Spectral Data 385[nm],0.004805791657
Spectral Data 390[nm],0.005156784318
Spectral Data 395[nm],0.005845790729
Spectral Data 400[nm],0.006386097521
Spectral Data 405[nm],0.006209085230
Spectral Data 410[nm],0.006357710343
Spectral Data 415[nm],0.008847021498
Spectral Data 420[nm],0.016311565414
Spectral Data 425[nm],0.032279908657
Spectral Data 430[nm],0.061066512018
Spectral Data 435[nm],0.104310519993
Spectral Data 440[nm],0.156682744622
Spectral Data 445[nm],0.201623022556
Spectral Data 450[nm],0.215079545975
Spectral Data 455[nm],0.187248989940
Spectral Data 460[nm],0.137928068638
Spectral Data 465[nm],0.095219187438
Spectral Data 470[nm],0.067197792232
Spectral Data 475[nm],0.050152927637
Spectral Data 480[nm],0.042057331651
Spectral Data 485[nm],0.041706301272
Spectral Data 490[nm],0.048653014004
Spectral Data 495[nm],0.061698067933
Spectral Data 500[nm],0.077458634973
Spectral Data 505[nm],0.092917963862
Spectral Data 510[nm],0.106968574226
Spectral Data 515[nm],0.119661390781
Spectral Data 520[nm],0.130375206470
Spectral Data 525[nm],0.137810692191
Spectral Data 530[nm],0.141023606062
Spectral Data 535[nm],0.139920055866
Spectral Data 540[nm],0.135006129742
Spectral Data 545[nm],0.130576267838
Spectral Data 550[nm],0.128817230463
Spectral Data 555[nm],0.126403316855
Spectral Data 560[nm],0.121947377920
Spectral Data 565[nm],0.117843054235
Spectral Data 570[nm],0.116401985288
Spectral Data 575[nm],0.115610860288
Spectral Data 580[nm],0.112842157483
Spectral Data 585[nm],0.110587522388
Spectral Data 590[nm],0.109284996986
Spectral Data 595[nm],0.106183096766
Spectral Data 600[nm],0.102639563382
Spectral Data 605[nm],0.099295876920
Spectral Data 610[nm],0.095740541816
Spectral Data 615[nm],0.092281207442
Spectral Data 620[nm],0.087753571570
Spectral Data 625[nm],0.082193568349
Spectral Data 630[nm],0.077000305057
Spectral Data 635[nm],0.071463659406
Spectral Data 640[nm],0.065463833511
Spectral Data 645[nm],0.059203773737
Spectral Data 650[nm],0.053153030574
Spectral Data 655[nm],0.047225464135
Spectral Data 660[nm],0.041553489864
